COG,Republic of Congo,MtCO2e,30.35,29.63
LBN,Lebanon,MtCO2e,34.05,28.87
HND,Honduras,MtCO2e,27.89,27.67
BEN,Benin,MtCO2e,26.44,26.96
TTO,Trinidad and Tobago,MtCO2e,29.04,26.61
BIH,Bosnia and Herzegovina,MtCO2e,24.54,24.39
YEM,Yemen,MtCO2e,25.93,24.39
LTU,Lithuania,MtCO2e,24.12,24.13
NAM,Namibia,MtCO2e,21.35,24.12
PAN,Panama,MtCO2e,24.84,21.46
GAB,Gabon,MtCO2e,21.40,21.16
MWI,Malawi,MtCO2e,19.98,20.31
GUY,Guyana,MtCO2e,17.97,18.17
GEO,Georgia,MtCO2e,17.89,17.69
TJK,Tajikistan,MtCO2e,17.29,17.56
HRV,Croatia,MtCO2e,17.96,17.05
SVN,Slovenia,MtCO2e,16.90,15.65
LBR,Liberia,MtCO2e,15.84,15.62
EST,Estonia,MtCO2e,17.80,14.83
GHA,Ghana,MtCO2e,11.22,14.41
SUR,Suriname,MtCO2e,13.58,13.54
GNQ,Equatorial Guinea,MtCO2e,14.13,13.38
MDA,Moldova,MtCO2e,13.64,13.17
MRT,Mauritania,MtCO2e,12.91,12.97
KGZ,Kyrgyzstan,MtCO2e,13.67,12.83
BGR,Bulgaria,MtCO2e,17.65,12.61
BRN,Brunei,MtCO2e,9.65,12.23
SLV,El Salvador,MtCO2e,13.59,12.15
LVA,Latvia,MtCO2e,12.17,11.53
HTI,Haiti,MtCO2e,10.96,10.90
ARM,Armenia,MtCO2e,9.91,10.46
MKD,Macedonia,MtCO2e,10.90,9.77
SLE,Sierra Leone,MtCO2e,9.24,9.31
TGO,Togo,MtCO2e,8.77,9.24
LUX,Luxembourg,MtCO2e,10.22,8.54
ALB,Albania,MtCO2e,8.95,8.06
CYP,Cyprus,MtCO2e,8.29,7.86
RWA,Rwanda,MtCO2e,7.60,7.59
JAM,Jamaica,MtCO2e,10.15,7.58
BDI,Burundi,MtCO2e,7.25,7.14
CRI,Costa Rica,MtCO2e,8.40,7.08
BLZ,Belize,MtCO2e,6.90,6.96
ERI,Eritrea,MtCO2e,6.63,6.69
MUS,Mauritius,MtCO2e,6.82,6.41
TLS,Timor-Leste,MtCO2e,6.55,6.01
GNB,Guinea-Bissau,MtCO2e,4.22,4.26
LSO,Lesotho,MtCO2e,3.85,4.01
MNE,Montenegro,MtCO2e,3.85,3.79
BRB,Barbados,MtCO2e,3.71,3.65
ISL,Iceland,MtCO2e,3.46,3.27
GMB,Gambia,MtCO2e,2.92,2.98
SWZ,Eswatini,MtCO2e,2.96,2.88
BHS,Bahamas,MtCO2e,2.97,2.83
GRD,Grenada,MtCO2e,2.41,2.40
MLT,Malta,MtCO2e,2.14,2.08
MDV,Maldives,MtCO2e,2.49,1.99
DJI,Djibouti,MtCO2e,1.39,1.39
ATG,Antigua and Barbuda,MtCO2e,1.21,1.20
SYC,Seychelles,MtCO2e,0.76,0.77
CPV,Cape Verde,MtCO2e,0.72,0.73
LCA,Saint Lucia,MtCO2e,0.73,0.70
COM,Comoros,MtCO2e,0.68,0.68
WSM,Samoa,MtCO2e,0.69,0.65
VUT,Vanuatu,MtCO2e,0.64,0.59
AND,Andorra,MtCO2e,0.61,0.58
STP,Sao Tome and Principe,MtCO2e,0.39,0.40
KNA,Saint Kitts and Nevis,MtCO2e,0.35,0.33
BTN,Bhutan,MtCO2e,0.74,0.32
VCT,Saint Vincent and the Grenadines,MtCO2e,0.32,0.30
TON,Tonga,MtCO2e,0.31,0.27
DMA,Dominica,MtCO2e,0.23,0.22
PLW,Palau,MtCO2e,0.25,0.20
MHL,Marshall Islands,MtCO2e,0.20,0.16
FSM,Micronesia,MtCO2e,0.20,0.16
LIE,Liechtenstein,MtCO2e,0.16,0.16
KIR,Kiribati,MtCO2e,0.10,0.09
COK,Cook Islands,MtCO2e,0.09,0.07
NRU,Nauru,MtCO2e,0.06,0.05
TUV,Tuvalu,MtCO2e,0.02,0.02
NIU,Niue,MtCO2e,0.01,0.00
FJI,Fiji,MtCO2e,-0.38,-0.81
Data source,Climate Watch
Data for,Location: World. Sectors/Subsectors: Total including LUCF. Gases: All GHG. Calculation: Total. Show data by Countries
